ID,title,Thumbnail,rights,manifest,Relation,viewingDirection,viewingHint,attribution
http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://xmlns.com/foaf/0.1/thumbnail,http://purl.org/dc/terms/rights,http://schema.org/url,http://purl.org/dc/terms/relation,http://iiif.io/api/presentation/2#viewingDirection,http://iiif.io/api/presentation/2#viewingHint
Literal,Literal,Resource,Resource,Resource

16_romaji_card___1,047_無題,,,,,,,,16_romaji_card___047_無題
16_romaji_card___2,"048_Kusa,Bokuya",,,,,,,,"16_romaji_card___048_Kusa,Bokuya"
16_romaji_card___3,049_Yasei-doubutu,,,,,,,,16_romaji_card___049_Yasei-doubutu
16_romaji_card___4,050_Tennen-gensyou,,,,,,,,16_romaji_card___050_Tennen-gensyou
16_romaji_card___5,051_Kansou-to-siryou,,,,,,,,16_romaji_card___051_Kansou-to-siryou
16_romaji_card___6,052_Otori,,,,,,,,16_romaji_card___052_Otori
16_romaji_card___7,053_Syuryou,,,,,,,,16_romaji_card___053_Syuryou
16_romaji_card___8,054_Ido,,,,,,,,16_romaji_card___054_Ido
16_romaji_card___9,055_Tosatu,,,,,,,,16_romaji_card___055_Tosatu
16_romaji_card___10,056_Kyosei,,,,,,,,16_romaji_card___056_Kyosei
16_romaji_card___11,057_Idou,,,,,,,,16_romaji_card___057_Idou
16_romaji_card___12,058_Mure-to-houboku,,,,,,,,16_romaji_card___058_Mure-to-houboku
16_romaji_card___13,059_Katiku-no-masiheri,,,,,,,,16_romaji_card___059_Katiku-no-masiheri
16_romaji_card___14,060_Kimono,,,,,,,,16_romaji_card___060_Kimono
16_romaji_card___15,061_Sumai,,,,,,,,16_romaji_card___061_Sumai
16_romaji_card___16,062_Nenryou,,,,,,,,16_romaji_card___062_Nenryou
16_romaji_card___17,063_乳製品,,,,,,,,16_romaji_card___063_乳製品
16_romaji_card___18,064_Ke-to-kegawa,,,,,,,,16_romaji_card___064_Ke-to-kegawa
16_romaji_card___19,065_Syuukyou-seikatu,,,,,,,,16_romaji_card___065_Syuukyou-seikatu
16_romaji_card___20,066_Lama-no-Seikatu,,,,,,,,16_romaji_card___066_Lama-no-Seikatu
16_romaji_card___21,067_Lama-kyoudan-no-sosiki,,,,,,,,16_romaji_card___067_Lama-kyoudan-no-sosiki
16_romaji_card___22,068_Gaikoku-to-no-Sessyoku,,,,,,,,16_romaji_card___068_Gaikoku-to-no-Sessyoku
16_romaji_card___23,069_Tiiki-kyoudoutai,,,,,,,,16_romaji_card___069_Tiiki-kyoudoutai
16_romaji_card___24,070_Roudou,,,,,,,,16_romaji_card___070_Roudou
16_romaji_card___25,071_Kazoku-to-Sinzoku,,,,,,,,16_romaji_card___071_Kazoku-to-Sinzoku
16_romaji_card___26,072_Koutuu-kikan,,,,,,,,16_romaji_card___072_Koutuu-kikan
16_romaji_card___27,073_Kozin-no-Unmei,,,,,,,,16_romaji_card___073_Kozin-no-Unmei
16_romaji_card___28,074_Syokugyou,,,,,,,,16_romaji_card___074_Syokugyou
16_romaji_card___29,075_Kaikyuu,,,,,,,,16_romaji_card___075_Kaikyuu
16_romaji_card___30,076_Seizi-Sosiki,,,,,,,,16_romaji_card___076_Seizi-Sosiki
16_romaji_card___31,077_Keizai-kikou,,,,,,,,16_romaji_card___077_Keizai-kikou
16_romaji_card___32,078_Kyosyutu-to-Zeikin,,,,,,,,16_romaji_card___078_Kyosyutu-to-Zeikin
16_romaji_card___33,079_Ryuutuu-keizai,,,,,,,,16_romaji_card___079_Ryuutuu-keizai
16_romaji_card___34,080_Seisan-keizai,,,,,,,,16_romaji_card___080_Seisan-keizai
16_romaji_card___35,081_Syouhi-keizai,,,,,,,,16_romaji_card___081_Syouhi-keizai
16_romaji_card___36,082_Kurasimuki,,,,,,,,16_romaji_card___082_Kurasimuki
16_romaji_card___37,083_Katiku(ippan),,,,,,,,16_romaji_card___083_Katiku(ippan)
16_romaji_card___38,084_Uma,,,,,,,,16_romaji_card___084_Uma
16_romaji_card___39,085_Usi,,,,,,,,16_romaji_card___085_Usi
16_romaji_card___40,086_Inu-to-Neko,,,,,,,,16_romaji_card___086_Inu-to-Neko
16_romaji_card___41,087_Rakuda,,,,,,,,16_romaji_card___087_Rakuda
16_romaji_card___42,088_Hituzi-to-Yagi,,,,,,,,16_romaji_card___088_Hituzi-to-Yagi
16_romaji_card___43,089_Tabemono,,,,,,,,16_romaji_card___089_Tabemono
16_romaji_card___44,090_Iroiro,,,,,,,,16_romaji_card___090_Iroiro
16_romaji_card___45,091_Titi-to-Nyuuseihin,,,,,,,,16_romaji_card___091_Titi-to-Nyuuseihin
16_romaji_card___46,092_ばら,,,,,,,,16_romaji_card___092_ばら
16_romaji_card___47,093_抜き書きの対訳(仮),,,,,,,,16_romaji_card___093_抜き書きの対訳(仮)
